Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
1,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_001,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/001_Алыщлапы_ма_нь_мисху.wav,0.050,2.100,"Алыщлапыӈ ма̄нь мисхум, ма̄ньщи мо̄йт.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
2,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_002,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/002_Миснэ_ман_Мисхум_Мис.wav,2.190,5.820,"Миснэ ман Мисхум,  Мис ма̄хум пуссын – та̄н самса̄йт о̄лнэ ма̄хум.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
3,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_003,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/003_Ма_нки_о_лэ_в_та_н_э.wav,5.920,10.740,"Ма̄нки о̄лэ̄в, та̄н э̄рыӈ ма̄нки халувт о̄лэ̄гыт, ё̄мыгтэ̄гыт - ма̄н та̄наныл ат ка̄салыянӯв.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
4,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_004,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/004_Акв_хоттымат_ма_т_па.wav,10.770,14.300,"Акв хоттымат ма̄т па̄выл о̄лум, тот тэ̄лтал Мис ма̄хум о̄лмыт. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
5,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_005,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/005_Мис_ма_хум_па_выл_о_.wav,14.370,18.820,Мис ма̄хум па̄выл о̄лум. Та па̄вылт ягпы­ӈыщ-а̄пщиӈыщ о̄лнэ са̄т хум о̄лмыт.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
6,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_006,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/006_Щар_ма_нь_а_пщияныл_.wav,18.970,22.150,"Щар ма̄нь а̄пщияныл сака со̄тыӈ, алыщлапыӈ хум о̄лум.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
7,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_007,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/007_Хоталь_мины_матыр_а_.wav,22.150,24.800,"Хоталь мины, матыр-а̄ти акваг ка̄тын та патты. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
8,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_008,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/008_Таса_вит_йхул_юв_тот.wav,24.880,29.060,"Таса̄вит ӯйхул юв тотнэ̄тэ, ща̄не ат а̄лыма­нэ̄тэ пуссын хот-щё̄пи­таӈкв. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
9,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_009,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/009_То_ва_н_влянэ_нас_та.wav,29.120,31.940,"То̄ва нё̄влянэ нас та порсынэ̄ныл, порсыг миннэ̄ныл.  ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
10,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_010,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/010_Тувыл_та_ма_нь_мисху.wav,32.060,35.230,Тувыл та ма̄нь мисхум такви сака пе̄лпыщ ё̄мыг­танэ̄тэ.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
