filename,start,end,speaker,text
Файл_№,Начало (сек),Конец (сек),Носитель,Текст
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_005,13.950,17.030,АА,"Ня̄врамыт военный стихыт, та пора э̄ргыт ханищтасыт."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_034,121.170,123.860,АА,Ос та урыл ам ты мо̄йт ты хо̄нтаслум.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_016,57.330,63.350,АА,"Ща̄не ос тахурип та о̄лум, акваг аман хотыл та̄ра-паттумтэ, хумыс пыге мощ ва̄гталнуваг пат­туӈкв."
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_020,52.220,53.380,АА,"Ё̄рныт, э̄рттам."
mns_91031035-59b1-4d78-9035-bc14e6303c06_018,75.280,76.910,АА,Колэ̄н яныг о̄лыс.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_024,79.890,83.420,АА,Ты накт па̄влыӈ яныг хо̄тпаг Галина Константиновна Алгадьева.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_008,28.780,34.390,АА,"А̄квын-э̄кв тыг во̄ве̄лн, ам ащирман ты тэ̄вем, наӈ тай āнум нōх ат ве̄рмилн хартуӈкв. "
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_051,225.700,228.810,АА,"Ат ке на̄хвасастэ, ма̄хмыт ащирман тэ̄нувет. "
mns_96090f15-60d2-403c-9248-112bd4773e4c_068,266.980,272.080,АА,Та̄н организацияныл яныг хо̄нт порат хо̄нтлам ма̄хум урыл кисхатнэ рӯпата ва̄ри.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_006,12.607,15.633,АА,"Такви тэ̄нутакве аты, таквина̄тэ̄н кинсы."
mns_96090f15-60d2-403c-9248-112bd4773e4c_059,228.310,232.330,АА,Хуриянэ са̄выӈпа̄лэ война порат бомба рагатам порат хот-щарве̄сыт.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_040,148.200,152.130,АА,"Мо̄йт рущ ла̄т­ӈыл хансым о̄лыс, ам таве ма̄ньщи ла̄тӈыг тол­мащ­ласлум.  "
mns_96090f15-60d2-403c-9248-112bd4773e4c_033,118.490,122.150,АА,Москва ӯст ос партийный работникыг ханищтахтын курсыт олсыт.
mns_91031035-59b1-4d78-9035-bc14e6303c06_016,64.170,70.410,АА, Тот нила ще̄мья о̄лсыт. Я̄ тапал ва̄тат Катери-э̄ква сулколт о̄лыс.
