filename,start,end,speaker,text,translit,audio_path,prediction_wav2vec2
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_017,45.12,46.16,АА,"Ос, лай, потыртэ̄н.","os, laj, potirtēn.",data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/017_╨₧╤ü_╨╗╨░╨╕╠å_╨┐╨╛╤é╤ï╤Ç╤é╤ì_╨╜_.wav,OZT LIPOTRT ÉN
mns_96090f15-60d2-403c-9248-112bd4773e4c_044,159.24,160.72,АА,Маныр ва̄руӈкв та̄н ха̄­сэ̄­гыт.,manər wāruŋkw tān xā­sē­ɣət.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/044_╨£╨░╨╜╤ï╤Ç_╨▓╨░_╤Ç╤â_╨║╨▓_╤é╨░_╨╜_.wav,MANDRA VÁROK TÁN HÁSZÉ
mns_91031035-59b1-4d78-9035-bc14e6303c06_015,58.78,64.0,АА,Яныг о̄пам Ма̄нья Ванька мощ ло̄ӈхальнув Лю̄лья ва̄тат о̄лмыгтас.,janəɣ ōpam mān'ja wan'ka mos' lōŋxal'nuw l'ujūl'ja wātat ōlmiɣtas.,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/015_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨£╨░_╨╜╤î╤Å_╨Æ╨░.wav,JENN JÓ APPAM MÁNYJA VÁNYKA MOST VANKA NU GYUGYJA VÁTAD ALMUJTAS
mns_91031035-59b1-4d78-9035-bc14e6303c06_011,40.1,44.89,АА,"Ты омам тав о̄патэ. Пе̄с порат, яныг хо̄нт э̄лы-па̄лт.","ti omam taw ōpate. p'eēs porat, janəɣ xōnt ēli-pālt.",data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/011_╨ó╤ï_╨╛╨╝╨░╨╝_╤é╨░╨▓_╨╛_╨┐╨░╤é╤ì_╨ƒ.wav,TI ÓMAM TE OA PETÉ PIRSZPORAD JANNI HOAN TE JALUPÁU
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_016,53.48,55.51,АА,Нё̄тнэг колонна щирыл лю̄льсыт.,n'ojōtneɣ kolonna s''irəl l'ujūl'sət.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/016_╨¥_╤é╨╜╤ì╨│_╨║╨╛╨╗╨╛╨╜╨╜╨░_╤ë╨╕╤Ç╤ï╨╗.wav,SZUK NYOTTNÉKAN LONNA SÍRDÚ GYÓCS SZÖT
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_031,108.85,112.63,АА,Ты яныг хо̄нт ялпыӈ хо̄талэ ма̄к яныг ща̄гты­лыӈ хо̄талыг о̄лыс. ,ti janəɣ xōnt jalpəŋ xōtale māk janəɣ s'āɣti­ləŋ xōtaləɣ ōləs.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/031_╨ó╤ï_╤Å╨╜╤ï╨│_╤à╨╛_╨╜╤é_╤Å╨╗╨┐╤ï_╤à.wav,I JENNIHHAL KIALAPUNK HALTALÉ MA KIJENNIKS ÁJITÉLÜNK HALTALŐ V
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_056,131.54,132.53,АА,Ёл ат патэ̄гыт!,jol at patēɣət!,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/056__╨╗_╨░╤é_╨┐╨░╤é╤ì_╨│╤ï╤é_.wav,JOLADT PATÉJ
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_029,101.15,104.6,АА,Мария Тихоновна ащо̄йкатэ Тимофей Константинович Остеров.,mar'ija t'ixonowna as'ōjkate t'imof'eej konstant'inow'əч ost'eerow.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/029_╨£╨░╤Ç╨╕╤Å_╨ó╨╕╤à╨╛╨╜╨╛╨▓╨╜╨░_╨░╤ë╨╛_.wav,MA RIÉKÍHANA ONA ÁSÓJIKATÉ GYÜM A FÉKASZUT GYÖNŐ CS OST
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_011,33.4,36.67,АА,Ос па̄вылкан котильн ёхтынэ̄г лё̄х хосыт ла̄глыл ё̄мсыт.,os pāwilkan kot'il'n joxtinēɣ l'ojōx xosət lāɣləl jōmsət.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/011_╨₧╤ü_╨┐╨░_╨▓╤ï╨╗╨║╨░╨╜_╨║╨╛╤é╨╕╨╗╤î╨╜.wav,A SZPÁOLTANT KOTYIN GJOTT NÉG JAH -HOSZITLÁG ÚGY JOMSSZU
mns_91031035-59b1-4d78-9035-bc14e6303c06_019,77.43,83.8,АА,"Яныг о̄пам ос яныг щаще̄квам мощ ло̄ӈхальнув о̄лсыг, тэ̄н о̄с сулколт о̄лсы̄г.","janəɣ ōpam os janəɣ s'as''eēkwam mos' lōŋxal'nuw ōlsəɣ, tēn ōs sulkolt ōlsə̄ɣ.",data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/019_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨╛╤ü_╤Å╨╜╤ï╨│_╤ë.wav,JENNÉA APAMOSZ JANIS ÉS JAKROM MOST VANKHAJ NÓ AUUSZI DELYEN ARSZ SZÚKÓT AUSZI
mns_91031035-59b1-4d78-9035-bc14e6303c06_009,32.56,35.56,АА,Тав наме Иван Филиппович Тихонов о̄лыс.,taw nam'ee iwan f'il'ippow'əч t'ixonow ōləs.,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/009_╨ó╨░╨▓_╨╜╨░╨╝╨╡_╨ÿ╨▓╨░╨╜_╨ñ╨╕╨╗╨╕╨┐╨┐.wav,DE VANÁMI I VAN FILI- PÖDIT S TYÍHANNAF OGO
mns_96090f15-60d2-403c-9248-112bd4773e4c_036,130.42,132.74,АА,Тох ты такви уре̄­тыл тав хансыгла̄лас.,tox ti takw'i ur'eē­təl taw xansiɣlālas.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/036_╨ó╨╛╤à_╤é╤ï_╤é╨░╨║╨▓╨╕_╤â╤Ç╨╡_╤é╤ï╨╗.wav,TUNK TOTTI TEKÜ ÓRIATÓTAM HANZŐ LÁ
mns_96090f15-60d2-403c-9248-112bd4773e4c_053,198.58,201.36,АА,"Хумыч та̄нки номсасыт, тащир вос по̄сласыт.","xuməч tānk'i nomsasət, tas''ər wos pōslasət.",data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/053_╨Ñ╤â╨╝╤ï╤ç_╤é╨░_╨╜╨║╨╕_╨╜╨╛╨╝╤ü╨░╤ü╤ï.wav,HÓMUSZTAN KIN NOMSZAASZOTT TE SÍRVÓZ POSZLASZT
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_022,78.85,82.24,АА,"Ань ма̄нь мисхум та ня̄нь тэ̄м, та̄ра таквитэ та мостумтэ.","an' mān' m'isxum ta n'ajān' tēm, tāra takw'ite ta mostumte.",data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/022_╨É╨╜╤î_╨╝╨░_╨╜╤î_╨╝╨╕╤ü╤à╤â╨╝_╤é╨░_.wav,ÁNY MÁNYMIZHOM TE NYÁNYDEJAM TÁRATÁK-VITÉTEN MOSZTUMTÉ
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_011,29.21,30.1,АА,Са̄т хум.,sāt xum.,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/011_╨í╨░_╤é_╤à╤â╨╝_.wav,SZÁTHUM
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_002,1.96,5.38,АА,Яныг хо̄нт ва̄рмаль оигпаме па̄сыл нёлса̄т та̄лыг е̄мтыс.,janəɣ xōnt wārmal' oiɣpam'ee pāsəl n'ojolsāt tāləɣ ēmtəs.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/002_╨»╨╜╤ï╨│_╤à╨╛_╨╜╤é_╨▓╨░_╤Ç╨╝╨░╨╗╤î_.wav,JÖNÜHONT VÁRMAGY OJI POM PÁSZLÓN NYÓSADTÁ LŐGIEMTUS
mns_96090f15-60d2-403c-9248-112bd4773e4c_077,307.4,309.87,АА,То̄ва порат братский могилатын е̄мтэ̄гыт.,tōwa porat бratsk'əj moɣ'ilatən ēmtēɣət.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/077_╨ó╨╛_╨▓╨░_╨┐╨╛╤Ç╨░╤é_╨▒╤Ç╨░╤é╤ü╨║╨╕╨╕╠å.wav,TOVA POROD BRANCKI MÖGLATNIIAMTÉJ
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_033,116.88,119.54,АА,Ос КСК колт рӯпитан ма̄хмытын ла̄вуӈкв э̄ри.,os ksk kolt rūp'itan māxmitən lāwuŋkw ēr'i.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/033_╨₧╤ü_╨Ü╨í╨Ü_╨║╨╛╨╗╤é_╤Ç╤â_╨┐╨╕╤é╨░╨╜.wav,OZ KŐZ KAKÓ TRÓPÍTONN MÁHMUTN LÁUK É
mns_96090f15-60d2-403c-9248-112bd4773e4c_094,382.61,386.03,АА,Ты тумпанылныл са̄лтатыт Ленинград ӯсаныл вуянтасыт.,ti tumpanilnəl sāltatət l'een'inɣraд ūsanəl wujantasət.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/094_╨ó╤ï_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜╤ï╨╗_╤ü╨░_╨╗╤é.wav,TI TUMPAN NANÓ FÁÓTATÖTLÉNIÜNK RAT ÓSZANUL VÚJA TASZ
mns_96090f15-60d2-403c-9248-112bd4773e4c_058,224.67,227.96,АА,"Константин Панков са̄в по̄слыс, тав по̄слыгла̄лам.","konstant'ən pankow sāw pōsləs, taw pōsliɣlālam.",data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/058_╨Ü╨╛╨╜╤ü╤é╨░╨╜╤é╨╕╨╜_╨ƒ╨░╨╜╨║╨╛╨▓_╤ü╨░.wav,KEZEZT A GYINTPAN KOF SZÁÚ POSZLUSZ TAU POSZLILLALOM
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_006,15.84,19.01,АА,"Нё̄р-Аки тав тай саме посыӈ, хум ань сунсыг­лахты.","n'ojōr-ak'i taw taj sam'ee posəŋ, xum an' sunsiɣ­laxti.",data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/006_╨¥_╤Ç_╨É╨║╨╕_╤é╨░╨▓_╤é╨░╨╕╠å_╤ü╨░╨╝╨╡.wav,NYARRA EKI TAUT É SZÁMJAPÓSZUNK HUMANNY SZUNCIÚLAH
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_029,162.646,164.593,АА,Мо̄рсыӈыг во̄рн ялантаӈкв патыс. ,mōrsiŋəɣ wōrn jalantaŋkw patəs.,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/029_╨£╨╛_╤Ç╤ü╤ï_╤ï╨│_╨▓╨╛_╤Ç╨╜_╤Å╨╗╨░╨╜.wav,MORSZUGŰ WORN JALLANDTAI PATASS
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_010,29.799,33.859,АА,"Хӯл алыщлан ма̄хум камканыл, са̄гланыл, хӯлпаныл щё̄питэ̄гыт. ","xul alis'lan māxum kamkanəl, sāɣlanəl, xulpanəl s''ojōp'itēɣət.",data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/010_╨Ñ_╨╗_╨░╨╗╤ï╤ë╨╗╨░╨╜_╨╝╨░_╤à╤â╨╝_╨║.wav,ÓLAUST LANU NAHUMKAMKANÓ SZÁJLANU HÓ-PANUS JOL PITÉIK
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_031,167.253,169.739,АА,Ка̄сыӈ та̄л госпромхозын пушнина майлас.  ,kāsəŋ tāl ɣospromxoзən puшn'ina majlas.,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/031_╨Ü╨░_╤ü╤ï_╤é╨░_╨╗_╨│╨╛╤ü╨┐╤Ç╨╛╨╝╤à╨╛.wav,KASZINTVE OGASZKOROM HOZNÚ PUS NYI-INAMMA ÉLOS
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_031,138.47,141.85,АА,"Щāняге-а̄щаге, кол та̄гыл э̄лумхōлас пуссын суп ва̄рсыт.","s'ān'ajaɣ'ee-ās'aɣ'ee, kol tāɣəl ēlumxōlas pussən sup wārsət.",data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/031_╨⌐_╨╜╤Å╨│╨╡_╨░_╤ë╨░╨│╨╡_╨║╨╛╨╗_╤é╨░.wav,SHÁNYEIGE RÁSJAÉ KÓTÁJULIMHOLSZ PUSZNCUP VARSZ
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_019,83.1,87.51,АА,"Тав ань пыгрищ ла̄ви. Аким о̄йка я̄ӈкылмат ёл-нопум, тох ла̄выс.","taw an' piɣr'əs' lāw'i. ak'əm ōjka jāŋkilmat jol-nopum, tox lāwəs.",data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/019_╨ó╨░╨▓_╨░╨╜╤î_╨┐╤ï╨│╤Ç╨╕╤ë_╨╗╨░_╨▓╨╕.wav,TE VANY BÚRIS LÁVJ Á KIMOLY-KI JÁNKÓ MAN JÓ NÓPUM TOKLÁVOSZ
